ID,Timestamp,WinningTeam,RemainingVillagers,RemainingWerewolves
140,2025-08-29_18-43-10,werewolf,0,1
141,2025-08-29_18-43-10,villager,1,0
142,2025-08-29_18-43-10,villager,3,0
143,2025-08-29_18-43-10,werewolf,0,1
144,2025-08-29_18-43-10,villager,3,0
145,2025-08-29_18-43-10,villager,1,0
146,2025-08-29_18-43-10,villager,1,0
147,2025-08-29_18-43-10,werewolf,0,1
148,2025-08-29_18-43-10,villager,1,0
149,2025-08-29_18-43-10,villager,1,0
150,2025-08-29_18-43-10,villager,1,0
151,2025-08-29_18-43-10,werewolf,0,1
152,2025-08-29_18-43-10,villager,1,0
153,2025-08-29_18-43-10,werewolf,0,1
154,2025-08-29_18-43-10,werewolf,0,1
155,2025-08-29_18-43-10,werewolf,0,1
156,2025-08-29_18-43-10,villager,1,0
157,2025-08-29_18-43-10,villager,1,0
158,2025-08-29_18-43-10,villager,3,0
159,2025-08-29_18-43-10,werewolf,0,1
160,2025-08-29_18-43-10,werewolf,0,1
161,2025-08-29_18-43-10,werewolf,0,1
162,2025-08-29_18-43-10,villager,1,0
163,2025-08-29_18-43-10,werewolf,0,1
164,2025-08-29_18-43-10,werewolf,0,1
165,2025-08-29_18-43-10,villager,1,0
166,2025-08-29_18-43-10,werewolf,0,1
167,2025-08-29_18-43-10,werewolf,0,1
168,2025-08-29_18-43-10,werewolf,0,1
169,2025-08-29_18-43-10,werewolf,0,1
170,2025-08-29_18-43-10,werewolf,0,1
171,2025-08-29_18-43-10,villager,1,0
172,2025-08-29_18-43-11,villager,3,0
173,2025-08-29_18-43-11,villager,1,0
174,2025-08-29_18-43-11,villager,1,0
175,2025-08-29_18-43-11,villager,3,0
176,2025-08-29_18-43-11,villager,1,0
177,2025-08-29_18-43-11,werewolf,0,1
178,2025-08-29_18-43-11,villager,3,0
179,2025-08-29_18-43-11,villager,3,0
180,2025-08-29_18-43-11,villager,3,0
181,2025-08-29_18-43-11,villager,1,0
182,2025-08-29_18-43-11,werewolf,0,1
183,2025-08-29_18-43-11,villager,1,0
184,2025-08-29_18-43-11,villager,1,0
185,2025-08-29_18-43-11,villager,1,0
186,2025-08-29_18-43-11,villager,3,0
187,2025-08-29_18-43-11,villager,1,0
188,2025-08-29_18-43-11,werewolf,0,1
189,2025-08-29_18-43-11,werewolf,0,1
190,2025-08-29_18-43-11,villager,1,0
191,2025-08-29_18-43-11,villager,1,0
192,2025-08-29_18-43-11,villager,1,0
193,2025-08-29_18-43-11,villager,3,0
194,2025-08-29_18-43-11,werewolf,0,1
195,2025-08-29_18-43-11,villager,1,0
196,2025-08-29_18-43-41,werewolf,0,1
197,2025-08-29_18-43-41,werewolf,0,1
198,2025-08-29_18-43-41,villager,1,0
199,2025-08-29_18-43-41,villager,1,0
200,2025-08-29_18-43-41,werewolf,0,1
201,2025-08-29_18-43-41,werewolf,0,1
202,2025-08-29_18-43-41,villager,1,0
203,2025-08-29_18-43-41,werewolf,0,1
204,2025-08-29_18-43-41,villager,3,0
205,2025-08-29_18-43-41,villager,1,0
206,2025-08-29_18-43-41,werewolf,0,1
207,2025-08-29_18-43-41,werewolf,0,1
208,2025-08-29_18-43-41,villager,1,0
209,2025-08-29_18-43-42,werewolf,0,1
210,2025-08-29_18-43-42,werewolf,0,1
211,2025-08-29_18-43-42,werewolf,0,1
212,2025-08-29_18-43-42,villager,1,0
213,2025-08-29_18-43-42,villager,1,0
214,2025-08-29_18-43-42,werewolf,0,1
215,2025-08-29_18-43-42,werewolf,0,1
216,2025-08-29_18-43-42,villager,1,0
217,2025-08-29_18-43-42,villager,1,0
218,2025-08-29_18-43-42,villager,3,0
219,2025-08-29_18-43-42,villager,1,0
220,2025-08-29_18-43-42,villager,1,0
221,2025-08-29_18-43-42,werewolf,0,1
222,2025-08-29_18-43-42,werewolf,0,1
223,2025-08-29_18-43-42,villager,1,0
224,2025-08-29_18-43-42,villager,1,0
225,2025-08-29_18-43-42,werewolf,0,1
226,2025-08-29_18-43-42,werewolf,0,1
227,2025-08-29_18-43-42,villager,1,0
228,2025-08-29_18-43-42,villager,1,0
229,2025-08-29_18-43-42,werewolf,0,1
230,2025-08-29_18-43-42,villager,3,0
231,2025-08-29_18-43-42,villager,1,0
232,2025-08-29_18-43-42,werewolf,0,1
233,2025-08-29_18-43-42,villager,3,0
234,2025-08-29_18-43-42,werewolf,0,1
235,2025-08-29_18-43-42,werewolf,0,1
236,2025-08-29_18-43-42,villager,3,0
237,2025-08-29_18-43-42,werewolf,0,1
238,2025-08-29_18-43-42,werewolf,0,1
239,2025-08-29_18-43-42,werewolf,0,1
240,2025-08-29_18-43-42,villager,3,0
241,2025-08-29_18-43-42,villager,3,0
242,2025-08-29_18-43-42,villager,1,0
243,2025-08-29_18-43-42,villager,1,0
244,2025-08-29_18-43-42,werewolf,0,1
245,2025-08-29_18-43-42,villager,1,0
246,2025-08-29_18-43-42,villager,1,0
247,2025-08-29_18-43-42,werewolf,0,1
248,2025-08-29_18-43-42,werewolf,0,1
249,2025-08-29_18-43-42,villager,1,0
250,2025-08-29_18-43-42,werewolf,0,1
251,2025-08-29_18-43-42,villager,1,0
252,2025-08-29_18-43-42,werewolf,0,1
253,2025-08-29_18-43-43,villager,1,0
254,2025-08-29_18-43-43,villager,1,0
255,2025-08-29_18-43-43,villager,1,0
256,2025-08-29_18-43-43,villager,1,0
257,2025-08-29_18-43-43,villager,1,0
258,2025-08-29_18-43-43,werewolf,0,1
259,2025-08-29_18-43-43,werewolf,0,1
260,2025-08-29_18-43-43,villager,3,0
261,2025-08-29_18-43-43,villager,1,0
262,2025-08-29_18-43-43,werewolf,0,1
263,2025-08-29_18-43-43,villager,1,0
264,2025-08-29_18-43-43,werewolf,0,1
265,2025-08-29_18-43-43,werewolf,0,1
266,2025-08-29_18-43-43,werewolf,0,1
267,2025-08-29_18-43-43,villager,1,0
268,2025-08-29_18-43-43,villager,3,0
269,2025-08-29_18-43-43,villager,1,0
270,2025-08-29_18-43-43,villager,1,0
271,2025-08-29_18-43-43,villager,1,0
272,2025-08-29_18-43-43,werewolf,0,1
273,2025-08-29_18-43-43,werewolf,0,1
274,2025-08-29_18-43-43,werewolf,0,1
275,2025-08-29_18-43-43,villager,1,0
276,2025-08-29_18-43-43,villager,3,0
277,2025-08-29_18-43-43,villager,1,0
278,2025-08-29_18-43-43,villager,3,0
279,2025-08-29_18-43-43,villager,1,0
280,2025-08-29_18-43-43,werewolf,0,1
281,2025-08-29_18-43-43,villager,1,0
282,2025-08-29_18-43-43,villager,1,0
283,2025-08-29_18-43-43,werewolf,0,1
284,2025-08-29_18-43-43,villager,1,0
285,2025-08-29_18-43-43,werewolf,0,1
286,2025-08-29_18-43-43,villager,3,0
287,2025-08-29_18-43-43,werewolf,0,1
288,2025-08-29_18-43-43,werewolf,0,1
289,2025-08-29_18-43-43,werewolf,0,1
290,2025-08-29_18-43-43,werewolf,0,1
291,2025-08-29_18-43-43,villager,3,0
292,2025-08-29_18-43-43,villager,3,0
293,2025-08-29_18-43-43,werewolf,0,1
294,2025-08-29_18-43-44,villager,1,0
295,2025-08-29_18-43-44,villager,1,0
296,2025-08-29_18-43-44,villager,1,0
297,2025-08-29_18-43-44,villager,1,0
298,2025-08-29_18-43-44,villager,1,0
299,2025-08-29_18-43-44,werewolf,0,1
300,2025-08-29_18-43-44,werewolf,0,1
301,2025-08-29_18-43-44,villager,1,0
302,2025-08-29_18-43-44,villager,1,0
303,2025-08-29_18-43-44,villager,3,0
304,2025-08-29_18-43-44,werewolf,0,1
305,2025-08-29_18-43-44,villager,1,0
306,2025-08-29_18-43-44,werewolf,0,1
307,2025-08-29_18-43-44,villager,1,0
308,2025-08-29_18-43-44,villager,1,0
309,2025-08-29_18-43-44,werewolf,0,1
310,2025-08-29_18-43-44,werewolf,0,1
311,2025-08-29_18-43-44,werewolf,0,1
312,2025-08-29_18-43-44,villager,1,0
313,2025-08-29_18-43-44,werewolf,0,1
314,2025-08-29_18-43-44,villager,1,0
315,2025-08-29_18-43-44,villager,1,0
316,2025-08-29_18-43-44,werewolf,0,1
317,2025-08-29_18-43-44,werewolf,0,1
318,2025-08-29_18-43-44,villager,1,0
319,2025-08-29_18-43-44,werewolf,0,1
320,2025-08-29_18-43-44,villager,1,0
321,2025-08-29_18-43-44,werewolf,0,1
322,2025-08-29_18-43-44,villager,1,0
323,2025-08-29_18-43-44,werewolf,0,1
