ID,Timestamp,WinningTeam,RemainingVillagers,RemainingWerewolves,wa_type,wb_type,va_type,vb_type,vc_type,vd_type,ve_type
1,2025-09-03_14-50-36,W,0,2,,,,
2,2025-09-03_14-50-51,V,1,0,,,,
3,2025-09-03_14-51-08,V,1,0,,,,
4,2025-09-03_14-51-19,V,3,0,,,,
5,2025-09-03_14-51-33,W,0,1,,,,
6,2025-09-03_14-51-52,V,1,0,,,,
7,2025-09-03_14-52-06,W,0,1,,,,
8,2025-09-03_14-52-21,V,1,0,,,,
9,2025-09-03_14-52-37,V,1,0,,,,
10,2025-09-03_14-52-54,V,1,0,,,,
11,2025-09-03_14-53-07,W,0,1,,,,
12,2025-09-03_14-53-22,V,1,0,,,,
13,2025-09-03_14-53-34,V,3,0,,,,
14,2025-09-03_14-53-50,W,0,1,,,,
15,2025-09-03_14-54-06,V,1,0,,,,
16,2025-09-03_14-54-21,V,1,0,,,,
17,2025-09-03_14-54-33,V,3,0,,,,
18,2025-09-03_14-54-50,V,1,0,,,,
19,2025-09-03_14-55-06,W,0,2,,,,
20,2025-09-03_14-55-22,V,1,0,,,,
21,2025-09-03_14-55-37,V,1,0,,,,
22,2025-09-03_14-55-53,W,0,1,,,,
23,2025-09-03_14-56-08,V,1,0,,,,
24,2025-09-03_14-56-22,V,1,0,,,,
25,2025-09-03_14-56-36,W,0,1,,,,
26,2025-09-03_14-56-52,W,0,1,,,,
27,2025-09-03_14-57-09,V,1,0,,,,
28,2025-09-03_14-57-24,V,1,0,,,,
29,2025-09-03_14-57-37,V,1,0,,,,
30,2025-09-03_14-58-01,V,1,0,,,,
31,2025-09-03_14-58-17,W,0,1,,,,
32,2025-09-03_14-58-32,V,1,0,,,,
33,2025-09-03_14-58-48,W,0,2,,,,
34,2025-09-03_14-59-02,W,0,1,,,,
35,2025-09-03_14-59-15,V,1,0,,,,
36,2025-09-03_14-59-34,V,1,0,,,,
37,2025-09-03_14-59-47,V,1,0,,,,
38,2025-09-03_15-00-02,V,1,0,,,,
39,2025-09-03_15-00-18,W,0,1,,,,
40,2025-09-03_15-00-35,V,1,0,,,,
41,2025-09-04_13-43-10,W,0,1,,,,
42,2025-09-04_13-43-23,V,1,0,,,,
43,2025-09-04_13-43-35,V,3,0,,,,
44,2025-09-04_13-43-49,V,1,0,,,,
45,2025-09-04_13-44-02,V,1,0,,,,
46,2025-09-04_13-44-13,V,1,0,,,,
47,2025-09-04_13-44-26,W,0,2,,,,
